Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
347,Roarke Knapp,super welter,15 1 1,24.0,"Edenvale, Gauteng, South Africa",15,1,1,17,88.2,"Edenvale, Gauteng", South Africa,-28.417590785185297,24.561247240458083
348,Joe Noynay,welter,19 3 2,27.0,"Paranaque City, Metro Manila, Philippines",19,3,2,24,79.2,"Paranaque City, Metro Manila", Philippines,12.960703883120487,121.73064951489579
349,Masanori Rikiishi,super feather,12 1 0,28.0,"Nagoya, Aichi, Japan",12,1,0,13,92.3,"Nagoya, Aichi", Japan,36.19134275559987,139.49556623885275
350,Javier Fortuna,light,37 4 1,33.0,"Braintree, Massachusetts, USA",37,4,1,42,88.1,"Braintree, Massachusetts", USA,39.47883563652868,-100.56107513849798
351,Zhilei Zhang,heavy,24 1 1,39.0,"Bloomfield, New Jersey, USA",24,1,1,26,92.3,"Bloomfield, New Jersey", USA,39.37468978366445,-99.69981174844489
352,Jackson Chauke,fly,22 1 2,37.0,"Tembisa, Gauteng, South Africa",22,1,2,25,88.0,"Tembisa, Gauteng", South Africa,-29.222954056712723,25.011937684390777
353,George Arias,,18 0 0,31.0,"Bronx, New York, USA",18,0,0,18,100.0,"Bronx, New York", USA,40.343250971912916,-100.84263118096742
354,Rocky Fielding,light heavy,30 2 0,35.0,"Dubai, United Arab Emirates",30,2,0,32,93.8,Dubai, United Arab Emirates,24.152979883366303,53.21549563443161
355,Abraham Nova,feather,21 1 0,28.0,"Albany, New York, USA",21,1,0,22,95.5,"Albany, New York", USA,39.519830810460434,-100.85153938366965
356,Ekow Essuman,welter,18 0 0,33.0,"Nottingham, Nottinghamshire, United Kingdom",18,0,0,18,100.0,"Nottingham, Nottinghamshire", United Kingdom,54.119798858337916,-3.4497060386566507
357,Fiodor Czerkaszyn,middle,21 0 0,26.0,"Warsaw, Poland",21,0,0,21,100.0,Warsaw, Poland,52.231286998405025,19.58108981911125
358,Jared Anderson,heavy,13 0 0,23.0,"Toledo, Ohio, USA",13,0,0,13,100.0,"Toledo, Ohio", USA,39.577998352484094,-99.70726989146831
359,Lewis Ritson,super light,23 2 0,29.0,"Forest Hall, Tyne and Wear, United Kingdom",23,2,0,25,92.0,"Forest Hall, Tyne and Wear", United Kingdom,54.85215085534999,-3.532345508773432
360,Andrey Sirotkin,middle,21 2 1,37.0,"Nizhny Novgorod (Gorky), Russia",21,2,1,24,87.5,Nizhny Novgorod (Gorky), Russia,65.23135348046786,98.2786142500415
361,Danny Dignum,middle,14 1 1,30.0,"Basildon, Essex, United Kingdom",14,1,1,16,87.5,"Basildon, Essex", United Kingdom,55.38686874648236,-2.603136185128672
362,Alexandro Santiago,bantam,27 3 5,26.0,"Tijuana, Baja California, Mexico",27,3,5,35,77.1,"Tijuana, Baja California", Mexico,23.84462214111133,-101.6995033892229
363,"Gabriel Gollaz 
 Valenzuela",super light,25 3 1,28.0,"Guadalajara, Jalisco, Mexico",25,3,1,29,86.2,"Guadalajara, Jalisco", Mexico,23.923872859084682,-101.7379949535022
364,Paul Kroll,welter,9 0 1,27.0,"Philadelphia, Pennsylvania, USA",9,0,1,10,90.0,"Philadelphia, Pennsylvania", USA,40.02954579333723,-100.28336377233019
365,Ruslan Kamilov,super feather,12 1 1,34.0,"Nizhnevartovsk, Russia",12,1,1,14,85.7,Nizhnevartovsk, Russia,65.03605486010802,97.00777226782607
366,Dan Azeez,light heavy,17 0 0,33.0,"Lewisham, London, United Kingdom",17,0,0,17,100.0,"Lewisham, London", United Kingdom,54.00981691036798,-2.9558455252966818
367,Francisco Fonseca,super feather,31 3 2,28.0,"Managua, Nicaragua",31,3,2,36,86.1,Managua, Nicaragua,13.093807654262639,-85.28713915713698
368,Lee McGregor,bantam,11 0 1,25.0,"Edinburgh, Scotland, United Kingdom",11,0,1,12,91.7,"Edinburgh, Scotland", United Kingdom,55.809964077396096,-3.0940078436997713
369,Argi Cortes,super fly,24 3 2,28.0,"Mexico City, Distrito Federal, Mexico",24,3,2,29,82.8,"Mexico City, Distrito Federal", Mexico,24.598518287165305,-102.02872562364495
370,Jermaine Franklin,heavy,21 1 0,29.0,"Saginaw, Michigan, USA",21,1,0,22,95.5,"Saginaw, Michigan", USA,40.225222461301854,-100.07753085128155
371,Vladimir Hernandez,super welter,13 5 0,33.0,"Stockton, California, USA",13,5,0,18,72.2,"Stockton, California", USA,39.60051345536348,-100.16017986184742
372,Juan Macias Montiel,middle,23 6 2,28.0,"Los Mochis, Sinaloa, Mexico",23,6,2,31,74.2,"Los Mochis, Sinaloa", Mexico,22.923635748992318,-102.4933936203748
373,Andres Cortes,super feather,18 0 0,25.0,"Las Vegas, Nevada, USA",18,0,0,18,100.0,"Las Vegas, Nevada", USA,40.095251961362145,-100.70880857949615
374,David Jimenez,fly,12 0 0,30.0,"Cartago, Costa Rica",12,0,0,12,100.0,Cartago, Costa Rica,9.468279026346844,-84.49014036120755
375,Thomas Mattice,super feather,20 3 1,32.0,"Cleveland, Ohio, USA",20,3,1,24,83.3,"Cleveland, Ohio", USA,39.883659805560924,-100.38615747053498
376,Phumelele Cafu,super fly,7 0 3,,"Duncan Village, Eastern Cape, South Africa",7,0,3,10,70.0,"Duncan Village, Eastern Cape", South Africa,-29.167520607372524,25.003776987515202
377,Maciej Sulecki,middle,30 2 0,33.0,"Warsaw, Poland",30,2,0,32,93.8,Warsaw, Poland,52.2646540164197,18.47882743103396
378,Eduardo Estela,light,14 1 0,33.0,"Montevideo, Uruguay",14,1,0,15,93.3,Montevideo, Uruguay,-32.017212488296344,-56.08693854302775
379,Ayanda Ndulani,minimum,13 2 1,25.0,"East London, Eastern Cape, South Africa",13,2,1,16,81.2,"East London, Eastern Cape", South Africa,-28.753076468685823,25.910786723073155
380,Vaghinak Tamrazyan,welter,19 8 0,37.0,"Vladimir, Russia",19,8,0,27,70.4,Vladimir, Russia,64.72010003306454,97.84462779542226
381,Tyrone McKenna,welter,23 3 1,32.0,"Belfast, Northern Ireland, United Kingdom",23,3,1,27,85.2,"Belfast, Northern Ireland", United Kingdom,54.709590234755616,-3.679411579489254
382,Juan Carlos Abreu,super welter,25 7 1,35.0,"La Romana, Dominican Republic",25,7,1,33,75.8,La Romana, Dominican Republic,18.879351773128967,-70.5820497965555
383,Gakuya Furuhashi,super bantam,28 9 2,35.0,"Kawasaki, Kanagawa, Japan",28,9,2,39,71.8,"Kawasaki, Kanagawa", Japan,36.73017114566251,138.6621733828554
384,Sebastian Formella,welter,23 3 0,35.0,"Hamburg, Hamburg, Germany",23,3,0,26,88.5,"Hamburg, Hamburg", Germany,50.950979435779786,10.346583342541297
385,Zhankosh Turarov,super light,26 0 0,32.0,"Pahokee, Florida, USA",26,0,0,26,100.0,"Pahokee, Florida", USA,39.20252814797632,-101.0248850029784
386,Rances Barthelemy,super light,29 2 1,37.0,"Las Vegas, Nevada, USA",29,2,1,32,90.6,"Las Vegas, Nevada", USA,39.39459581894715,-100.74803001852423
387,Austin Trout,super welter,36 5 1,37.0,"Las Cruces, New Mexico, USA",36,5,1,42,85.7,"Las Cruces, New Mexico", USA,39.44866476030227,-100.34761773490254
388,Artysh Lopsan,super middle,9 1 1,28.0,"Kyzyl, Russia",9,1,1,11,81.8,Kyzyl, Russia,63.10784662953835,98.57905596338819
389,Claudio Marrero,super feather,26 5 0,33.0,"Santo Domingo, Dominican Republic",26,5,0,31,83.9,Santo Domingo, Dominican Republic,19.79859857709419,-69.64652214847817
390,Isaac Chamberlain,cruiser,14 2 0,28.0,"Brixton, London, United Kingdom",14,2,0,16,87.5,"Brixton, London", United Kingdom,54.324962507018846,-2.9158760278756746
391,Pablo Cesar Cano,super light,34 8 1,33.0,"Atizapan de Zaragoza, México, Mexico",34,8,1,43,79.1,"Atizapan de Zaragoza, México", Mexico,23.594373543470294,-102.20957585442031
392,Jorge Linares,light,47 8 0,37.0,"Tokyo, Japan",47,8,0,55,85.5,Tokyo, Japan,36.71158405498457,140.44538697956943
393,Josesito Lopez,welter,38 9 0,38.0,"Riverside, California, USA",38,9,0,47,80.9,"Riverside, California", USA,40.097735760205005,-100.80151070896562
394,Stephan Shaw,heavy,18 0 0,30.0,"Saint Louis, Missouri, USA",18,0,0,18,100.0,"Saint Louis, Missouri", USA,38.680869915704385,-100.52101844531423
395,Sena Agbeko,super middle,27 2 0,30.0,"Nashville, Tennessee, USA",27,2,0,29,93.1,"Nashville, Tennessee", USA,39.9143498629804,-100.16140464680734
396,Ruslan Madiyev,super light,14 2 0,30.0,"Indio, California, USA",14,2,0,16,87.5,"Indio, California", USA,38.81602904172874,-100.31898966209826
397,Lucas Browne,heavy,31 3 0,43.0,"Perth, Western Australia, Australia",31,3,0,34,91.2,"Perth, Western Australia", Australia,-24.936309391457346,134.65028022676725
398,Harlem Eubank,super light,16 0 0,28.0,"Brighton, Sussex, United Kingdom",16,0,0,16,100.0,"Brighton, Sussex", United Kingdom,54.55208751876341,-3.1077678884148985
399,"Julio Cesar 
 Martinez",fly,19 2 0,27.0,"Mexico City, Distrito Federal, Mexico",19,2,0,21,90.5,"Mexico City, Distrito Federal", Mexico,23.506393597269636,-101.71414460247891
400,John Bauza,super light,17 0 0,24.0,"North Bergen, New Jersey, USA",17,0,0,17,100.0,"North Bergen, New Jersey", USA,40.31857585711255,-101.0511164575448
401,Jose Benavidez Jr,super welter,27 2 1,30.0,"Phoenix, Arizona, USA",27,2,1,30,90.0,"Phoenix, Arizona", USA,38.99230953162255,-100.97063383501259
402,Steve Claggett,super light,33 7 2,33.0,"Calgary, Alberta, Canada",33,7,2,42,78.6,"Calgary, Alberta", Canada,61.38263969124316,-109.00981496939531
403,Julian Williams,super welter,28 3 1,32.0,"Philadelphia, Pennsylvania, USA",28,3,1,32,87.5,"Philadelphia, Pennsylvania", USA,40.81339939205749,-99.60179756649734
404,Thomas Dulorme,welter,26 6 1,32.0,"Carolina, Puerto Rico",26,6,1,33,78.8,Carolina, Puerto Rico,18.207024817296354,-66.31902163902227
405,Harry Scarff,welter,11 2 0,29.0,"Derby, Derbyshire, United Kingdom",11,2,0,13,84.6,"Derby, Derbyshire", United Kingdom,54.50782838542292,-3.0847560015985174
406,Charles Martin,heavy,29 3 1,36.0,"Carson, California, USA",29,3,1,33,87.9,"Carson, California", USA,39.66032274377831,-100.90494355947415
407,"Sivenathi 
 Nontshinga",light fly,11 0 0,24.0,"Reeston, Eastern Cape, South Africa",11,0,0,11,100.0,"Reeston, Eastern Cape", South Africa,-28.129180512826665,24.28709160910538
408,Felix Sturm,super middle,42 6 3,43.0,"Leverkusen, Nordrhein-Westfalen, Germany",42,6,3,51,82.4,"Leverkusen, Nordrhein-Westfalen", Germany,50.91122976525212,10.283326955172026
409,Joseph Spencer,super welter,16 0 0,22.0,"Fenton, Michigan, USA",16,0,0,16,100.0,"Fenton, Michigan", USA,39.9081703409318,-100.21716458017885
410,Amilcar Vidal,middle,16 0 0,26.0,"Coachella, California, USA",16,0,0,16,100.0,"Coachella, California", USA,40.077899794064365,-100.07591113951794
411,Shohjahon Ergashev,super light,23 0 0,31.0,"Detroit, Michigan, USA",23,0,0,23,100.0,"Detroit, Michigan", USA,39.876183175418106,-100.37032704634875
412,"Luis Rodriguez 
 Ocana",super bantam,11 0 0,21.0,"Mexico City, Distrito Federal, Mexico",11,0,0,11,100.0,"Mexico City, Distrito Federal", Mexico,23.77949755391584,-101.37084939909104
413,Ray Robinson,super welter,25 3 2,36.0,"Philadelphia, Pennsylvania, USA",25,3,2,30,83.3,"Philadelphia, Pennsylvania", USA,39.15760716749075,-99.80249248559865
414,Jessie Magdaleno,feather,29 1 0,31.0,"Las Vegas, Nevada, USA",29,1,0,30,96.7,"Las Vegas, Nevada", USA,40.06632361762195,-100.36146535095412
415,Chayaphon Moonsri,minimum,55 3 0,37.0,"Bangkok, Thailand",55,3,0,58,94.8,Bangkok, Thailand,15.5031354391492,101.03651527480244
416,Jayr Raquinel,super fly,13 2 1,25.0,"Cauayan, Negros Occidental, Philippines",13,2,1,16,81.2,"Cauayan, Negros Occidental", Philippines,11.97026588318273,122.34596629987932
417,Lerato Dlamini,feather,18 2 0,,"Linksfield, Gauteng, South Africa",18,2,0,20,90.0,"Linksfield, Gauteng", South Africa,-29.001811028501642,24.700810856695853
418,Albert Bell,super feather,22 0 0,29.0,"Toledo, Ohio, USA",22,0,0,22,100.0,"Toledo, Ohio", USA,40.38707586967221,-99.9869796577081
419,Pedro Campa,super light,34 2 1,30.0,"Hermosillo, Sonora, Mexico",34,2,1,37,91.9,"Hermosillo, Sonora", Mexico,23.037103732466456,-102.37184395038433
420,Chris van Heerden,welter,28 3 1,35.0,"Santa Monica, California, USA",28,3,1,32,87.5,"Santa Monica, California", USA,39.599650912854244,-99.94450584496334
421,Esquiva Falcao,middle,30 0 0,33.0,"Vitoria, Espirito Santo, Brazil",30,0,0,30,100.0,"Vitoria, Espirito Santo", Brazil,-9.63267582284988,-53.12125469798731
422,Marquis Taylor,super welter,13 1 2,29.0,"Galena Park, Texas, USA",13,1,2,16,81.2,"Galena Park, Texas", USA,40.10817763977431,-101.23871081198668
423,Kai Chiba,bantam,15 3 0,29.0,"Yokohama, Kanagawa, Japan",15,3,0,18,83.3,"Yokohama, Kanagawa", Japan,36.885937800634316,139.77488647973237
424,Keita Kurihara,bantam,16 7 1,29.0,"Tokyo, Japan",16,7,1,24,66.7,Tokyo, Japan,36.327947999088984,140.149850537261
425,Samuel Molina,super light,23 2 0,24.0,"Malaga, Andalucía, Spain",23,2,0,25,92.0,"Malaga, Andalucía", Spain,39.62937523286442,-5.128152274954272
426,Taras Shelestyuk,welter,19 0 1,37.0,"Los Angeles, California, USA",19,0,1,20,95.0,"Los Angeles, California", USA,40.47953539562389,-100.99331639476088
427,Gabriel Maestre,welter,4 0 1,36.0,"Barranquilla, Colombia",4,0,1,5,80.0,Barranquilla, Colombia,3.6515728916424295,-73.42103425726177
428,Zak Chelli,super middle,12 1 1,25.0,"Fulham, London, United Kingdom",12,1,1,14,85.7,"Fulham, London", United Kingdom,54.88795722153006,-3.425162667757497
429,Nick Ball,feather,17 0 0,25.0,"Liverpool, Merseyside, United Kingdom",17,0,0,17,100.0,"Liverpool, Merseyside", United Kingdom,54.938433451222544,-4.1005442579924445
430,Daishi Nagata,super light,17 3 2,32.0,"Tokyo, Japan",17,3,2,22,77.3,Tokyo, Japan,36.98321930413655,138.81971070880607
431,Ginjiro Shigeoka,minimum,8 0 0,23.0,"Tokyo, Japan",8,0,0,8,100.0,Tokyo, Japan,36.642684634188896,139.3689983930433
432,Sam Goodman,super bantam,13 0 0,24.0,"Albion Park, New South Wales, Australia",13,0,0,13,100.0,"Albion Park, New South Wales", Australia,-25.107747377039207,134.79997887782258
433,Alex Martin,super light,18 4 0,33.0,"Calumet City, Illinois, USA",18,4,0,22,81.8,"Calumet City, Illinois", USA,39.47110223343854,-101.41483965140539
434,Justis Huni,heavy,7 0 0,23.0,"Brisbane, Queensland, Australia",7,0,0,7,100.0,"Brisbane, Queensland", Australia,-25.240689014542465,134.50181691029087
435,Akihiro Kondo,super light,35 11 2,37.0,"Tokyo, Japan",35,11,2,48,72.9,Tokyo, Japan,36.66699862421024,139.47824611961622
436,Alejandro Meneses,super light,16 5 0,32.0,"Tecamac, México, Mexico",16,5,0,21,76.2,"Tecamac, México", Mexico,24.18795976756306,-102.72943181748695
437,"Jimmy 'Kilrain' 
 Kelly",middle,26 3 0,30.0,"Wythenshawe, Lancashire, United Kingdom",26,3,0,29,89.7,"Wythenshawe, Lancashire", United Kingdom,54.398088209044516,-3.665610924119223
438,Seiya Tsutsumi,bantam,7 0 2,26.0,"Tokyo, Japan",7,0,2,9,77.8,Tokyo, Japan,36.475932439992654,139.55330179028226
439,Fedor Papazov,light,24 4 0,37.0,"Tuapse, Russia",24,4,0,28,85.7,Tuapse, Russia,64.41036294689081,97.16291338095651
440,"Roamer Alexis 
 Angulo",super middle,27 3 0,38.0,"Santo Domingo, Dominican Republic",27,3,0,30,90.0,Santo Domingo, Dominican Republic,19.716132816702654,-70.51426638032446
441,Joel Taylor,welter,9 0 0,22.0,"Melbourne, Victoria, Australia",9,0,0,9,100.0,"Melbourne, Victoria", Australia,-24.21353441278095,133.65182263574178
442,Bilel Jkitou,welter,15 2 0,,"Nanterre, Hauts-de-Seine, France",15,2,0,17,88.2,"Nanterre, Hauts-de-Seine", France,46.82050956953088,2.3775301608697106
443,Bektemir Melikuziev,super middle,10 1 0,26.0,"Indio, California, USA",10,1,0,11,90.9,"Indio, California", USA,39.55068944753099,-100.30941336307895
444,"Jose Angel Gabriel 
 Rosa",super light,18 0 0,22.0,"La Rioja, La Rioja, Argentina",18,0,0,18,100.0,"La Rioja, La Rioja", Argentina,-35.987238866157156,-64.77075996678077
445,Kanat Islam,middle,29 1 0,38.0,"Oxnard, California, USA",29,1,0,30,96.7,"Oxnard, California", USA,39.68274904363432,-101.47939563571069
446,Ryota Toyoshima,welter,16 2 1,26.0,"Tokyo, Japan",16,2,1,19,84.2,Tokyo, Japan,36.716437663877514,138.5684060541443
447,Bjoern Schicke,middle,20 1 1,34.0,"Berlin, Berlin, Germany",20,1,1,22,90.9,"Berlin, Berlin", Germany,50.609061542989714,11.113661282362612
448,Raymond Ford,feather,13 0 1,23.0,"Camden, New Jersey, USA",13,0,1,14,92.9,"Camden, New Jersey", USA,39.249975538305165,-99.70116152223653
449,Jerome Pampellone,light heavy,15 0 0,26.0,"Auckland, New Zealand",15,0,0,15,100.0,Auckland, New Zealand,-41.52101176912869,173.58494131707866
450,Yoelvis Gomez,middle,6 0 0,25.0,"Las Vegas, Nevada, USA",6,0,0,6,100.0,"Las Vegas, Nevada", USA,39.05044531534712,-100.86222467086124
451,Rohan Polanco,super light,8 0 0,24.0,"Santo Domingo, Dominican Republic",8,0,0,8,100.0,Santo Domingo, Dominican Republic,19.029389621257717,-70.21274503764788
452,Kosuke Saka,super feather,22 6 0,30.0,"Osaka, Osaka, Japan",22,6,0,28,78.6,"Osaka, Osaka", Japan,37.332905883347735,138.92770524979392
453,Artur Mann,cruiser,19 3 0,32.0,"Hannover, Niedersachsen, Germany",19,3,0,22,86.4,"Hannover, Niedersachsen", Germany,51.64096259985664,10.61581389689972
454,Keita Obara,welter,26 4 1,36.0,"Tokyo, Japan",26,4,1,31,83.9,Tokyo, Japan,36.691811113281005,138.8796410261597
455,Miel Fajardo,light fly,9 1 2,22.0,"Sampaloc, Metro Manila, Philippines",9,1,2,12,75.0,"Sampaloc, Metro Manila", Philippines,11.749880036705822,123.21646202603493
456,Jack Massey,cruiser,20 1 0,29.0,"Marple, Cheshire, United Kingdom",20,1,0,21,95.2,"Marple, Cheshire", United Kingdom,55.016572315968915,-3.2496369069995272
457,Juan Manuel Taborda,middle,18 0 1,29.0,"Villa Maria, Cordoba, Argentina",18,0,1,19,94.7,"Villa Maria, Cordoba", Argentina,-35.33240905568348,-65.11104108847611
458,Ben Mahoney,super welter,13 0 0,27.0,"Coomera, Queensland, Australia",13,0,0,13,100.0,"Coomera, Queensland", Australia,-24.599967881168816,134.72564250485252
459,Ramon Cardenas,bantam,21 1 0,27.0,"San Antonio, Texas, USA",21,1,0,22,95.5,"San Antonio, Texas", USA,39.9198185515856,-99.80776399113311
460,Gavin Gwynne,light,15 2 1,32.0,"Treharris, Wales, United Kingdom",15,2,1,18,83.3,"Treharris, Wales", United Kingdom,54.960493387423895,-3.223537176932264
461,Aik Shakhnazaryan,light,26 4 1,29.0,"Samara, Russia",26,4,1,31,83.9,Samara, Russia,65.04798451925137,97.10705263182855
462,Brandon Thysse,super welter,15 3 1,,"Germiston, Gauteng, South Africa",15,3,1,19,78.9,"Germiston, Gauteng", South Africa,-29.232330337471517,24.961082409389057
463,Anas Messaoudi,welter,14 0 0,29.0,"Ixelles, Bruxelles-Capitale, Belgium",14,0,0,14,100.0,"Ixelles, Bruxelles-Capitale", Belgium,50.58345155969407,4.274831318139397
464,Isaac Chilemba,super middle,27 9 3,34.0,"Johannesburg, Gauteng, South Africa",27,9,3,39,69.2,"Johannesburg, Gauteng", South Africa,-28.086943544734133,24.481844312685173
465,Efe Ajagba,heavy,16 1 0,28.0,"Stafford, Texas, USA",16,1,0,17,94.1,"Stafford, Texas", USA,39.89017703427179,-100.58739727354269
466,Ryo Sagawa,feather,12 2 0,28.0,"Tokyo, Japan",12,2,0,14,85.7,Tokyo, Japan,36.512344690598724,140.1215361762526
467,Kazuki Nakajima,super bantam,13 1 1,29.0,"Yokohama, Kanagawa, Japan",13,1,1,15,86.7,"Yokohama, Kanagawa", Japan,36.51273007911633,138.8960699549753
468,Michel Soro,super welter,35 3 2,35.0,"Villeurbanne, Rhône, France",35,3,2,40,87.5,"Villeurbanne, Rhône", France,46.60539904202663,2.4043112272304876
469,"Ricardo Rafael 
 Sandoval",fly,20 2 0,23.0,"Rialto, California, USA",20,2,0,22,90.9,"Rialto, California", USA,40.033688642636506,-99.75907929721413
470,Daigo Higa,bantam,19 2 1,27.0,"Tokyo, Japan",19,2,1,22,86.4,Tokyo, Japan,36.92680290743914,139.50677052553186
471,Eduardo Hernandez,super feather,33 1 0,25.0,"Mexico City, Distrito Federal, Mexico",33,1,0,34,97.1,"Mexico City, Distrito Federal", Mexico,23.55096846893672,-101.90125303884773
472,Alante Green,cruiser,10 1 1,30.0,"Cleveland, Ohio, USA",10,1,1,12,83.3,"Cleveland, Ohio", USA,39.70620064379756,-100.16368633130459
473,Joseph Adorno,super light,17 1 2,23.0,"Allentown, Pennsylvania, USA",17,1,2,20,85.0,"Allentown, Pennsylvania", USA,39.819439197444474,-100.53283647689594
474,Haro Matevosyan,super welter,16 0 0,30.0,"Berlin, Berlin, Germany",16,0,0,16,100.0,"Berlin, Berlin", Germany,50.93503098474725,11.014241818999926
475,Tony Rashid,super bantam,14 2 2,29.0,"Dar-Es-Salaam, Tanzania",14,2,2,18,77.8,Dar-Es-Salaam, Tanzania,-6.0029408124668535,35.60949988077466
476,"Omar Alejandro 
 Aguilar",super light,24 1 0,23.0,"Ensenada, Baja California, Mexico",24,1,0,25,96.0,"Ensenada, Baja California", Mexico,23.64357448396005,-101.76287392032852
477,"Brandon Leon 
 Benitez",feather,19 2 0,24.0,"Queretaro, Queretaro, Mexico",19,2,0,21,90.5,"Queretaro, Queretaro", Mexico,23.85599117584365,-103.21784207931073
478,Raul Curiel,welter,11 0 0,27.0,"Guadalajara, Jalisco, Mexico",11,0,0,11,100.0,"Guadalajara, Jalisco", Mexico,23.541940096611608,-102.11825495457342
479,Shinard Bunch,super light,20 1 1,23.0,"Trenton, New Jersey, USA",20,1,1,22,90.9,"Trenton, New Jersey", USA,39.673667581762615,-100.00085903534026
480,"Francisco Rodriguez 
 Jr",super fly,36 6 1,30.0,"Monterrey, Nuevo León, Mexico",36,6,1,43,83.7,"Monterrey, Nuevo León", Mexico,24.149302320128154,-102.86094210749906
481,"Yamil Alberto 
 Peralta",cruiser,14 1 0,31.0,"Del Viso, Buenos Aires, Argentina",14,1,0,15,93.3,"Del Viso, Buenos Aires", Argentina,-35.737172463738,-64.81161766878604
482,Jaime Arboleda,super feather,19 2 0,28.0,"Miami, Florida, USA",19,2,0,21,90.5,"Miami, Florida", USA,39.63572688704889,-100.43206420830197
483,Cristofer Rosales,fly,35 6 0,28.0,"Managua, Nicaragua",35,6,0,41,85.4,Managua, Nicaragua,12.53773871496524,-86.27428689960524
484,Floyd Masson,cruiser,12 0 0,31.0,"Brisbane, Queensland, Australia",12,0,0,12,100.0,"Brisbane, Queensland", Australia,-24.93015304575548,134.99482875823523
485,Will Madera,super light,17 2 3,31.0,"Albany, New York, USA",17,2,3,22,77.3,"Albany, New York", USA,39.966856123433686,-100.36112502974458
486,Sergei Vorobev,super welter,19 1 0,28.0,"Shlisselburg, Russia",19,1,0,20,95.0,Shlisselburg, Russia,65.0838758397047,96.95070410722387
487,Shabaz Masoud,super bantam,11 0 0,26.0,"Stoke-on-Trent, Staffordshire, United Kingdom",11,0,0,11,100.0,"Stoke-on-Trent, Staffordshire", United Kingdom,55.42981069102983,-3.253726440419761
488,Petro Ivanov,super middle,16 0 2,26.0,"Karlsruhe, Baden-Württemberg, Germany",16,0,2,18,88.9,"Karlsruhe, Baden-Württemberg", Germany,51.407631202309744,10.176990093507836
489,Mazlum Akdeniz,super light,17 0 0,25.0,"Montreal, Quebec, Canada",17,0,0,17,100.0,"Montreal, Quebec", Canada,60.1081829173421,-108.14961748122188
490,Oscar Escandon,feather,27 6 0,38.0,"Ibague, Colombia",27,6,0,33,81.8,Ibague, Colombia,4.217636340199107,-72.28431569359691
491,Masahiro Suzuki,super light,8 1 0,27.0,"Tokyo, Japan",8,1,0,9,88.9,Tokyo, Japan,36.309751587950544,139.3753885123147
492,Deonte Brown,light,15 0 0,27.0,"Marietta, Georgia, USA",15,0,0,15,100.0,"Marietta, Georgia", USA,40.30363248922557,-100.42790255627483
493,Sikho Nqothole,super fly,16 2 0,28.0,South Africa,16,2,0,18,88.9,South Africa,,45.09460414390452,7.777608625590338
493,Sikho Nqothole,super fly,16 2 0,28.0,South Africa,16,2,0,18,88.9,South Africa,,46.18932712279021,11.790555951200758
494,Jovanni Straffon,light,25 5 1,29.0,"Mexico City, Distrito Federal, Mexico",25,5,1,31,80.6,"Mexico City, Distrito Federal", Mexico,23.70344239526474,-101.63287315202783
495,Peter Dobson,super welter,16 0 0,32.0,"Bronx, New York, USA",16,0,0,16,100.0,"Bronx, New York", USA,39.43035389725633,-101.6785714649004
496,Mike Balogun,heavy,20 0 0,39.0,"Upper Marlboro, Maryland, USA",20,0,0,20,100.0,"Upper Marlboro, Maryland", USA,40.173430714568156,-100.99849446872483
497,Mike Perez,cruiser,27 3 1,37.0,"Cork, Ireland",27,3,1,31,87.1,Cork, Ireland,52.760758563330626,-7.637873188159989
498,Yoshiki Takei,super bantam,6 0 0,26.0,"Yokohama, Kanagawa, Japan",6,0,0,6,100.0,"Yokohama, Kanagawa", Japan,36.82425914812427,138.0393855581985
499,Georgii Chelokhsaev,super light,21 2 1,29.0,"Vladikavkaz, Russia",21,2,1,24,87.5,Vladikavkaz, Russia,64.7220581943355,98.07078890472482
500,Rene Alvarado,super feather,32 13 0,33.0,"Managua, Nicaragua",32,13,0,45,71.1,Managua, Nicaragua,13.066052724897943,-85.00712225660287
501,Norbelto Jimenez,super fly,31 10 6,31.0,"Villa Duarte, Dominican Republic",31,10,6,47,66.0,Villa Duarte, Dominican Republic,19.477446809542535,-70.59230053164202
502,"Victor Reyes 
 Bernabe",bantam,21 2 1,26.0,"Tijuana, Baja California, Mexico",21,2,1,24,87.5,"Tijuana, Baja California", Mexico,23.71131032039234,-101.52887342920329
503,Bongani Mahlangu,super bantam,24 9 0,43.0,"Boipatong, Gauteng, South Africa",24,9,0,33,72.7,"Boipatong, Gauteng", South Africa,-28.551605232874575,25.02455408083703
504,Ryo Akaho,super bantam,39 2 2,36.0,"Yokohama, Kanagawa, Japan",39,2,2,43,90.7,"Yokohama, Kanagawa", Japan,36.996949127076554,139.26767175410657
505,D'Mitrius Ballard,middle,21 1 1,29.0,"Temple Hills, Maryland, USA",21,1,1,23,91.3,"Temple Hills, Maryland", USA,40.2920011942096,-99.56210602725837
506,Fillipus Nghitumbwa,super bantam,12 1 0,27.0,"Windhoek, Namibia",12,1,0,13,92.3,Windhoek, Namibia,-23.035847835195426,16.679900376862385
507,Ricards Bolotniks,light heavy,19 6 1,32.0,"Riga, Latvia",19,6,1,26,73.1,Riga, Latvia,56.91431530933386,23.35928519421209
508,Balazs Bacskai,super welter,16 0 0,34.0,"Budapest, Hungary",16,0,0,16,100.0,Budapest, Hungary,46.89574744186407,19.86741434387166
