Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
102,Ryan Garcia,super light,23 0 0,24.0,"Los Angeles, California, USA",23,0,0,23,100.0,"Los Angeles, California", USA,40.7122350293924,-101.01235997278238
103,Marlon Tapales,super bantam,36 3 0,30.0,"Kapatagan, Lanao del Norte, Philippines",36,3,0,39,92.3,"Kapatagan, Lanao del Norte", Philippines,11.781698188900025,123.37804522511588
104,Alexis Rocha,welter,21 1 0,25.0,"Irvine, California, USA",21,1,0,22,95.5,"Irvine, California", USA,39.85848155866971,-100.504420566031
105,Joet Gonzalez,feather,25 3 0,29.0,"Los Angeles, California, USA",25,3,0,28,89.3,"Los Angeles, California", USA,40.05886499160162,-99.75776672620309
106,Luis Nery,super bantam,33 1 0,28.0,"Tijuana, Baja California, Mexico",33,1,0,34,97.1,"Tijuana, Baja California", Mexico,22.70589459987203,-101.83286337783952
107,Jose Zepeda,super light,36 3 0,33.0,"La Puente, California, USA",36,3,0,39,92.3,"La Puente, California", USA,39.811263620336526,-100.01497857943569
108,Junto Nakatani,super fly,24 0 0,24.0,"Sagamihara, Kanagawa, Japan",24,0,0,24,100.0,"Sagamihara, Kanagawa", Japan,36.99761006660925,138.71373642554516
109,Jean Pascal,light heavy,36 6 1,40.0,"Laval, Quebec, Canada",36,6,1,43,83.7,"Laval, Quebec", Canada,60.97596550059678,-106.66554657606328
110,Michael Zerafa,middle,31 4 0,30.0,"Melbourne, Victoria, Australia",31,4,0,35,88.6,"Melbourne, Victoria", Australia,-25.29336937658116,134.98549972298184
111,"Sergiy 
 Derevyanchenko",middle,14 4 0,37.0,"Brooklyn, New York, USA",14,4,0,18,77.8,"Brooklyn, New York", USA,39.14193043402406,-100.46059669655602
112,Rashidi Ellis,welter,24 0 0,29.0,"Lynn, Massachusetts, USA",24,0,0,24,100.0,"Lynn, Massachusetts", USA,39.81620998673018,-100.49058540169911
113,"Fernando Daniel 
 Martinez",super fly,15 0 0,31.0,"Buenos Aires, Distrito Federal, Argentina",15,0,0,15,100.0,"Buenos Aires, Distrito Federal", Argentina,-34.33763231283829,-64.74324095272928
